straat,lat,lon
,51.048928453791014,3.7162640443263424
Pensmarkt,51.05568305996978,3.72148041335187
Lobeliastraat,51.06321076766472,3.700049310859044
Bij sint-Jacobs to,51.05612045186174,3.7275463231376937
,51.0515902431164,3.712759734644664
Pensmarkt,51.055732940446106,3.721705110143134
Vrijdagsmarkt,51.057362997650465,3.7252543239825564
Adriaan Pietersstraat,51.07141368626943,3.686460014406206
Bevrijdingslaan,51.059742645327596,3.702937916121568
Brankardierstraat,51.05197766458048,3.704319378970196
,51.048906173527634,3.7162685986989668
Groentenmarkt,51.055739462772294,3.721939677643297
Vaartstraat,51.07064881120617,3.6931151250640664
Holstraat,51.05381671641593,3.714394696154346
Vaartstraat,51.070815762855126,3.6935983862827073
Beukelaarstraat,51.06129168789299,3.702457710438179
Maurice Claeysplein,51.072168455119446,3.680431744100828
Vrijdagsmarkt,51.05740985858675,3.72527348213333
Vaartstraat,51.070797337695524,3.693566163585979
Pensmarkt,51.055712743127614,3.7216761282025614
,51.05217552378227,3.704299461948978
Spiegelhofstraat,51.05243555958526,3.704308469960177
Johan Daisnestraat,51.05056316041465,3.711993494786751
Wielewaalstraat,51.0662195311923,3.6984856470121366
Palinghuizen,51.067936585148935,3.698079514631985
Coupure,51.05263332756536,3.7093796375984236
Oude Houtlei,51.05299348092904,3.716747650353855
Iepenstraat,51.04900849661947,3.717076691021418
Wielewaalstraat,51.066209485642275,3.698454189661756
Bellefleurstraat,51.06105487398563,3.6927748543316627
Johan Daisnestraat,51.05058558798603,3.711995740492985
Sint-Michielsplein,51.053889022075865,3.7189639914051735
Sint-Michielsplein,51.053870057543875,3.7189681869985654
Vrijdagsmarkt,51.05669000699082,3.7260876874219226
Iepenstraat,51.049030623691884,3.7170704659827587
Krijgsgasthuisstraat,51.051522618828905,3.7036339885977867
Beekstraat,51.07262379089228,3.660337366688141
Sint-Michielsplein,51.053897918461296,3.7189619061814523
Stoppelstraat,51.048234207435144,3.716443252155419
Peerstraat,51.06220309258783,3.691655251631445
Lobeliastraat,51.06440160910492,3.6989250365836734
Vrijdagsmarkt,51.056762489271286,3.7261758922631616
Louis Pasteurlaan,51.0456427157662,3.7147712386498792
Keviestraat,51.04452512175007,3.7301543188432746
Leeuwstraat,51.04050058345314,3.732225405777988
Hofstraat,51.044010326664555,3.73098602996839
Onderstraat,51.05616339480017,3.7245419807126106
Rokerelsstraat,51.04715138157835,3.712386390197654
Hofstraat,51.04593130018236,3.7298351888485777
Krommenelleboog,51.04972129243864,3.714032590537853
Willem Wenemaerstraat,51.039855974777154,3.7301429437058333
Martelaarslaan,51.0475380478004,3.7104793285217603
Bijlokevest,51.04670421076435,3.7143467597354594
Alpacastraat,51.04435297511152,3.730623382882167
Louis Pasteurlaan,51.04562089777881,3.7147469500012584
Hertstraat,51.04508597728189,3.7290499735994675
Onderstraat,51.055486736684315,3.726044237658725
Leeuwstraat,51.0405215911095,3.7322124964511447
Grootkanonplein,51.05736584812531,3.724163812242893
Louis Pasteurlaan,51.045567654426485,3.7146861306759638
Coupure,51.050173950707936,3.7102557324057237
Tijgerstraat,51.03987727325126,3.730371640930574
Bijlokevest,51.046676814032004,3.7143940093092045
Grootkanonplein,51.0574049853709,3.724180442579693
Coupure,51.04905262231076,3.7117324774368607
Pekelharing,51.04905390907546,3.718682821191878
,51.046155183910905,3.7138176841027155
Pekelharing,51.049051583029325,3.7187182834119032
Onderstraat,51.05546070360313,3.7261023743099724
Krommenelleboog,51.049721325557464,3.714061165003823
Coupure,51.0465374064542,3.717197394838197
Bijlokehof,51.046495616420415,3.7148409021020035
Louis Van Houttestraat,51.043037768970464,3.7462397148785156
Bassijnstraat,51.04556839345944,3.747758089953027
Alphonse de Hollainhof,51.04423325103359,3.736918548846959
Lozevisserstraat,51.045088365806215,3.7418996207633923
,51.048208953952326,3.7423353882713264
Land van Rodelaan,51.035762850128926,3.7582184656976283
Auguste Van Ooststraat,51.04484490065705,3.7463854813570965
Auguste Van Ooststraat,51.044284921754205,3.746539302594927
Graaf van Vlaanderenplein,51.046717766610165,3.7322830071517266
,51.04752369532177,3.7318570022652557
,51.04730279268524,3.7316845554984743
Gentbruggestraat,51.04773752764642,3.754440723634044
Jan Rijmstraat,51.044734885318974,3.7454123741389416
Zalmstraat,51.04765895534375,3.7432891544164315
Auguste Van Ooststraat,51.043631177701755,3.746659978210981
Auguste Van Ooststraat,51.044307071187404,3.7465332708784294
Graaf van Vlaanderenplein,51.04759256532678,3.7320295206773855
Graaf van Vlaanderenplein,51.046695877279994,3.7322962190751703
Alphonse de Hollainhof,51.04440221298778,3.7366098188166275
Tongstraat,51.04525130668314,3.741905149555513
Eendrachtstraat,51.04737240849763,3.744788620840719
Verbroederingstraat,51.04271948173087,3.753424351630253
Ferdinand Lousbergskaai,51.04448634814872,3.739783202290125
Forelstraat,51.047865129234005,3.741226506420528
Wazenaarstraat to,51.04077858326486,3.7447942766208455
Henri Mortierstraat,51.0400327964622,3.748982776561553
Frederik Burvenichstraat,51.04056496777245,3.7545793595673587
Lozevisserstraat,51.04444030516385,3.7402060801419506
,51.046259518381795,3.740771844585148
Wazenaarstraat to,51.04077026144326,3.744761188014605
Kerkstraat,51.044086297125936,3.7494731348689094
Maurits Sabbestraat,51.0376132059973,3.7519031606548108
Ferdinand Lousbergskaai,51.04402344257041,3.7401221660929695
,51.04597414653234,3.741259496446846
,51.04548818876144,3.743625652017789
Visserij,51.04497405675439,3.7390054985658083
Visserij,51.044996454318735,3.739002576192872
Forelstraat,51.04787918761003,3.74125432029085
Muinkkaai,51.0416769946506,3.729344738485594
